Meeting Date,Company,Symbol,Industry,SubIndustry,Proposal Type<br>General,Proposal Type<br>Specific,Title,Proponent Type<br>General,Proponent Type<br>Specific,Proponent,Votes For
5/14/2024,The Allstate Corp,,Financials,Retailing,Corporate Governance,Chairman Independence,Independent Board Chair,Individual,Individual,Kenneth Steiner,0.30
5/14/2024,The Allstate Corp,,Consumer Discretionary,Integrated Oil and Gas,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.86
5/14/2024,Cummins Inc.,,Information Technology,"Pharmaceuticals, Biotechnology and Life Sciences",Social Policy,Climate Risk,Link Exec Comp to 1.5°C Aligned Greenhouse Gas Emissions Reductions,Social,Socially Responsible Investing Funds,As You Sow,0.16
5/14/2024,Cummins Inc.,,Consumer Discretionary,Specialty Chemicals,Corporate Governance,Chairman Independence,Independent Board Chair,Individual,Individual,John Chevedden,0.44
5/14/2024,Cummins Inc.,,Real Estate,Banks,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.94
5/14/2024,"Waste Management, Inc.",,Health Care,Food Beverage and Tobacco,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.93
5/14/2024,Loews Corp.,,Energy,"Pharmaceuticals, Biotechnology and Life Sciences",Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.96
5/13/2024,Baker Hughes Co,,Industrials,"Pharmaceuticals, Biotechnology and Life Sciences",Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.95
5/13/2024,Int'l Paper Co,,Energy,Specialty Chemicals,Social Policy,Diversity,Report on the Company’s LGBTQ+ Equity and Inclusion Efforts,Labor,State/City Specific Public Employee Pension Funds,New York State Common Retirement Fund,0.19
5/13/2024,Int'l Paper Co,,Utilities,Retailing,Executive Compensation,Golden Parachutes,Shareowner Opportunity to Vote on Excessive Golden Parachutes,Individual,Individual,John Chevedden,0.30
5/13/2024,Int'l Paper Co,,Health Care,Capital Goods,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.83
5/11/2024,Duke Energy Corp,,Health Care,"Pharmaceuticals, Biotechnology and Life Sciences",Social Policy,Climate Risk,Financial Statement Assumptions and Climate Change,Social,Public Policy Interest Groups,National Center for Public Policy Research,0.02
5/11/2024,Duke Energy Corp,,Consumer Staples,Integrated Oil and Gas,Executive Compensation,Equity Comp Rules,Executives To Retain Significant Stock,Individual,Individual,John Chevedden,0.36
5/11/2024,Duke Energy Corp,,Information Technology,Retailing,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.90
5/10/2024,Colgate-Palmolive Co,,Industrials,Capital Goods,Corporate Governance,Chairman Independence,Independent Board Chair,Individual,Individual,Kenneth Steiner,0.34
5/10/2024,Colgate-Palmolive Co,,Consumer Staples,Food Beverage and Tobacco,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.87
5/10/2024,The Progressive Corp,,Real Estate,Real Estate Investment Trusts,Social Policy,Diversity,"Report Risks by the Company's Diversity, Equity, and Inclusion Efforts",Social,Public Policy Interest Groups,National Center for Public Policy Research,0.01
5/10/2024,The Progressive Corp,,Consumer Staples,Capital Goods,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.95
5/10/2024,"Marriott Int'l, Inc.",,Financials,Food Beverage and Tobacco,Social Policy,Gender/Racial Equality,Racial and Gender Pay Gap Report,Individual,Individual,Myra K. Young,0.20
5/10/2024,"Marriott Int'l, Inc.",,Energy,Food Beverage and Tobacco,Social Policy,Civil Rights Audit,Third-Party Civil Rights Audit,Social,Socially Responsible Investing Funds,Trillium Global Equity Fund,0.11
5/10/2024,"Marriott Int'l, Inc.",,Materials,"Pharmaceuticals, Biotechnology and Life Sciences",Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.89
5/10/2024,Alcoa Corp,,Energy,Banks,Social Policy,Lobbying,Transparency in Lobbying,Individual,Individual,Kenneth Steiner,0.36
5/10/2024,Alcoa Corp,,Health Care,Real Estate Investment Trusts,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.97
5/9/2024,Nucor Corp,,Telecommunication Services,Electric Utilities,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.92
5/9/2024,"Penske Automotive Grp, Inc.",,Health Care,"Pharmaceuticals, Biotechnology and Life Sciences",Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.98
5/9/2024,Norfolk Southern Corp,,Consumer Staples,Real Estate Investment Trusts,Corporate Governance,Require Shareholder Vote on Bylaws,Repeal Board Bylaws Adopted without Shareholder Approval,Other,Investment Adviser,Ancora Holdings Group LLC,0.61
5/9/2024,Norfolk Southern Corp,,Materials,Capital Goods,Social Policy,Lobbying,Transparency in Lobbying,Individual,Individual,John Chevedden,0.39
5/9/2024,Norfolk Southern Corp,,Telecommunication Services,Real Estate Investment Trusts,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.28
5/9/2024,Ford Motor Co,,Utilities,Retailing,Social Policy,Supply Chain Risks,Supply Chain Transparency and Traceability Report,Social,Socially Responsible Investing Funds,Green Century Capital Management,0.07
5/9/2024,Ford Motor Co,,Consumer Discretionary,Food Beverage and Tobacco,Social Policy,Human Rights,Child Labor Audit,Social,Public Policy Interest Groups,National Center for Public Policy Research,0.06
5/9/2024,Ford Motor Co,,Information Technology,Food Beverage and Tobacco,Voting Rules,Recapitalization (Stock Classes/Voting Rights),Give Each Share an Equal Vote,Individual,Individual,John Chevedden,0.38
5/9/2024,Ford Motor Co,,Consumer Staples,Media and Entertainment,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.93
5/9/2024,Las Vegas S&s Corp.,,Real Estate,"Pharmaceuticals, Biotechnology and Life Sciences",Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.65
5/9/2024,Union Pacific Corp,,Financials,Banks,Corporate Governance,Amend Board Committee Charter,Amend Charter of the Board’s Railroad Safety Committee,Labor,General Private Labor Union Pension Funds,AFL-CIO,0.07
5/9/2024,Union Pacific Corp,,Industrials,Specialty Chemicals,Executive Compensation,Golden Parachutes,Shareholder Opportunity to Vote on Excessive Golden Parachutes,Individual,Individual,John Chevedden,0.06
5/9/2024,Union Pacific Corp,,Industrials,Software and Services,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.96
5/9/2024,"C.H. Robinson Worldwide, Inc.",,Real Estate,"Pharmaceuticals, Biotechnology and Life Sciences",Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.86
5/9/2024,Verizon Communications Inc.,,Information Technology,Media and Entertainment,Social Policy,Political Spending,Political Expenditures Misalignment,Social,Socially Responsible Investing Funds,The Woodcock Foundation,0.17
5/9/2024,Verizon Communications Inc.,,Real Estate,Integrated Oil and Gas,Social Policy,Public Health,Lead-sheathed Cable Report,Labor,Company-Specific Labor Union Pension Funds,Assoc. of BellTel Retirees,0.15
5/9/2024,Verizon Communications Inc.,,Industrials,Banks,Social Policy,Civil Rights Audit,Respect Civil Liberties in Digital Services,Social,Public Policy Interest Groups,American Family Association,0.05
5/9/2024,Verizon Communications Inc.,,Energy,Media and Entertainment,Corporate Governance,Chairman Independence,Independent Board Chair,Individual,Individual,Kenneth Steiner,0.43
5/9/2024,Verizon Communications Inc.,,Telecommunication Services,Specialty Chemicals,Executive Compensation,Clawback,Amend Exec Compensation Clawback Policy,Individual,Individual,Thomas Steed,0.33
5/9/2024,Verizon Communications Inc.,,Industrials,"Pharmaceuticals, Biotechnology and Life Sciences",Social Policy,Lobbying,Lobbying Activities Report,Individual,Individual,Alyson Pytte,0.35
5/9/2024,Verizon Communications Inc.,,Information Technology,Banks,Social Policy,Political Spending,Cease Political Contributions Study,Social,Socially Responsible Investing Funds,Trillium Global Equity Fund,0.06
5/9/2024,Verizon Communications Inc.,,Consumer Discretionary,Food Beverage and Tobacco,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.91
5/9/2024,Sempra Energy,,Industrials,Media and Entertainment,Social Policy,Environmental,Report on Efforts to Reduce Risks of Significant Environmental Hazards,Labor,General Private Labor Union Pension Funds,Utility Workers Union of America,0.25
5/9/2024,Sempra Energy,,Consumer Staples,Media and Entertainment,Executive Compensation,Golden Parachutes,Shareholder Opportunity to Vote on Excessive Golden Parachutes,Individual,Individual,John Chevedden,0.05
5/9/2024,Sempra Energy,,Materials,Food Beverage and Tobacco,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.93
5/8/2024,CSX Corp,,Financials,Integrated Oil and Gas,Corporate Governance,Establish New Board Committee & or Council,Form a Railroad Safety Committee,Labor,General Private Labor Union Pension Funds,AFL-CIO,0.08
5/8/2024,CSX Corp,,Materials,Electric Utilities,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.83
5/8/2024,Philip Morris Int'l Inc.,,Health Care,Specialty Chemicals,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.93
5/8/2024,"Gilead Sciences, Inc.",,Information Technology,Integrated Oil and Gas,Executive Compensation,Equity Comp Rules,Executives To Retain Significant Stock,Individual,Individual,John Chevedden,0.36
5/8/2024,"Gilead Sciences, Inc.",,Consumer Discretionary,Software and Services,Social Policy,Health Care,Report on Risks of Supporting Abortion,Other,Investment Adviser,Bowyer Research,0.02
5/8/2024,"Gilead Sciences, Inc.",,Health Care,Real Estate Investment Trusts,Corporate Governance,Employee Representative Director,Incl Non-Management Employee as Director,Individual,Individual,Jing Zhao,0.06
5/8/2024,"Gilead Sciences, Inc.",,Telecommunication Services,Food Beverage and Tobacco,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.92
5/8/2024,"Kinder Morgan, Inc.",,Real Estate,Integrated Oil and Gas,Social Policy,Climate Risk,Establish a Greenhouse Gas Emission Reduction Target,Other,Foreign Government Pension Fund,Norges Bank Investment Mgmt.,0.31
5/8/2024,"Kinder Morgan, Inc.",,Consumer Staples,Media and Entertainment,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.96
5/8/2024,Murphy Oil Corp,,Materials,"Pharmaceuticals, Biotechnology and Life Sciences",Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.99
5/7/2024,General Electric Co,,Telecommunication Services,Specialty Chemicals,Social Policy,Environmental,Report Analyzing Risks Arising from Voluntary Carbon-Reduction Commitments,Social,Public Policy Interest Groups,National Center for Public Policy Research,0.01
5/7/2024,General Electric Co,,Industrials,Software and Services,Corporate Governance,Chairman Independence,Independent Board Chair,Individual,Individual,Kenneth Steiner,0.16
5/7/2024,General Electric Co,,Consumer Discretionary,Retailing,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.94
5/7/2024,"Dominion Energy, Inc.",,Financials,Real Estate Investment Trusts,Social Policy,Climate Risk,Amend Articles of Incorporation to Become a Benefit Corporation,Individual,Individual,Ruth McElroy Amundsen,0.02
5/7/2024,"Dominion Energy, Inc.",,Industrials,Banks,Corporate Governance,Chairman Independence,Independent Board Chair,Individual,Individual,John Chevedden,0.40
5/7/2024,"Dominion Energy, Inc.",,Real Estate,Electric Utilities,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.95
5/7/2024,Bristol-Myers Squibb Co,,Materials,Capital Goods,Executive Compensation,Equity Comp Rules,Executives to Retain Significant Stock,Individual,Individual,John Chevedden,0.39
5/7/2024,Bristol-Myers Squibb Co,,Telecommunication Services,Retailing,Corporate Governance,Chairman Independence,Independent Board Chair,Individual,Individual,Kenneth Steiner,0.32
5/7/2024,Bristol-Myers Squibb Co,,Consumer Discretionary,Capital Goods,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.94
5/7/2024,The Gap Inc.,,Health Care,Real Estate Investment Trusts,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.97
5/7/2024,Omnicom Grp Inc.,,Consumer Discretionary,Capital Goods,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.91
5/7/2024,"Community Health Systems, Inc.",,Energy,Real Estate Investment Trusts,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.97
5/7/2024,Danaher Corp,,Real Estate,Media and Entertainment,Social Policy,Diversity,"Report on Effectiveness of the Company’s Diversity, Equity & Inclusion Efforts",Social,Socially Responsible Investing Funds,As You Sow,0.14
5/7/2024,Danaher Corp,,Consumer Staples,Integrated Oil and Gas,Corporate Governance,Special Meetings,Special Shareholder Meeting Improvement,Individual,Individual,John Chevedden,0.43
5/7/2024,Danaher Corp,,Consumer Discretionary,Retailing,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.93
5/7/2024,Oshkosh Corp,,Financials,Banks,Voting Rules,Majority Voting for Directors,Majority Vote for Director Election,Labor,State/City Specific Public Employee Pension Funds,Mid-America Carpenters Pension Fund,0.00
5/7/2024,Oshkosh Corp,,Real Estate,"Pharmaceuticals, Biotechnology and Life Sciences",Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.96
5/7/2024,Intel Corp,INTC,Real Estate,Real Estate Investment Trusts,Executive Compensation,Golden Parachutes,Shareholder Opportunity to Vote on Excessive Golden Parachutes,Individual,Individual,John Chevedden,0.07
5/7/2024,Intel Corp,INTC,Consumer Staples,Capital Goods,Social Policy,Health Care,Risk Report of Opposing State Abortion Regulation,Social,Public Policy Interest Groups,American Family Association,0.01
5/7/2024,Intel Corp,INTC,Real Estate,Real Estate Investment Trusts,Corporate Governance,Establish New Board Committee & or Council,Request a Corporate Financial Sustainability Board Committee,Social,Public Policy Interest Groups,National Center for Public Policy Research,0.01
5/7/2024,Intel Corp,INTC,Health Care,Electric Utilities,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.89
5/7/2024,Baxter Int'l Inc.,,Real Estate,Capital Goods,Executive Compensation,Equity Comp Rules,Executives to Retain Significant Stock,Individual,Individual,John Chevedden,0.29
5/7/2024,Baxter Int'l Inc.,,Real Estate,Media and Entertainment,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.87
5/7/2024,"Arrow Electronics, Inc.",ARW,Financials,Media and Entertainment,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.97
5/6/2024,Aflac Inc,,Consumer Staples,Real Estate Investment Trusts,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.96
5/6/2024,Eli Lilly & Co,,Financials,"Pharmaceuticals, Biotechnology and Life Sciences",Social Policy,Human Rights,Adopt a Comprehensive Human Rights Policy,Social,Religious Institutions,CommonSpirit Health,0.10
5/6/2024,Eli Lilly & Co,,Industrials,Capital Goods,Social Policy,Reputational Risk,Impact of Extended Patent Exclusivities on Product Access Report,Social,Religious Institutions,Trinity Health,0.09
5/6/2024,Eli Lilly & Co,,Information Technology,Capital Goods,Social Policy,Diversity,"Report on Effectiveness of the Company’s Diversity, Equity, and Inclusion Efforts",Social,Socially Responsible Investing Funds,As You Sow,0.24
5/6/2024,Eli Lilly & Co,,Health Care,"Pharmaceuticals, Biotechnology and Life Sciences",Social Policy,Lobbying,Report on Lobbying,Labor,Public Services Employee Union Pension Funds,SEIU Master Trust,0.26
5/6/2024,Eli Lilly & Co,,Materials,Banks,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.95
5/6/2024,American Express Co,,Telecommunication Services,Real Estate Investment Trusts,Corporate Governance,Merchant Category Codes ,Policy on Merchant Category Codes,Social,Public Policy Interest Groups,National Center for Public Policy Research,0.01
5/6/2024,American Express Co,,Consumer Staples,Media and Entertainment,Social Policy,Climate Risk,Report Climate Lobbying Alignment,Individual,Individual,Myra K. Young,0.24
5/6/2024,American Express Co,,Consumer Discretionary,Specialty Chemicals,Executive Compensation,Golden Parachutes,Shareholder Opportunity to Vote on Excessive Golden Parachutes,Individual,Individual,Kenneth Steiner,0.31
5/6/2024,American Express Co,,Information Technology,Retailing,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.95
5/4/2024,Berkshire Hathaway Inc.,,Materials,Software and Services,Social Policy,Human Rights,Impact of Communist China on Company Doing Business in China,Social,Public Policy Interest Groups,National Legal and Policy Center,0.01
5/4/2024,Berkshire Hathaway Inc.,,Real Estate,Integrated Oil and Gas,Social Policy,Climate Risk,Issue Audited Report on Net-zero GHG Emissions & Associated Energy Status,Social,Public Policy Interest Groups,National Center for Public Policy Research,0.01
5/4/2024,Berkshire Hathaway Inc.,,Financials,Retailing,Corporate Governance,Establish New Board Committee & or Council,Form a Railroad Safety Committee,Labor,General Private Labor Union Pension Funds,AFL-CIO,0.04
5/4/2024,Berkshire Hathaway Inc.,,Consumer Staples,Banks,Social Policy,Employment Rights,"Report on the Company’s Diversity, Equity, and Inclusion Efforts on Employees",Social,Socially Responsible Investing Funds,Whistle Stop Capital,0.20
5/4/2024,Berkshire Hathaway Inc.,,Financials,Software and Services,Social Policy,Climate Risk,Disclose GhG Emissions Data & Progress to its Net-zero Decarbonization Goal,Labor,State/City Specific Public Employee Pension Funds,Illinois State Treasurer,0.18
5/4/2024,Berkshire Hathaway Inc.,,Industrials,Real Estate Investment Trusts,Social Policy,Climate Risk,"Report on How BRK will Measure, Disclose & Reduce GHG Emissions on its Activities",Social,Socially Responsible Investing Funds,As You Sow,0.21
5/3/2024,Illinois Tool Works Inc.,,Consumer Discretionary,Banks,Executive Compensation,Golden Parachutes,Shareholder Opportunity to Vote on Excessive Golden Parachutes,Individual,Individual,John Chevedden,0.34
5/3/2024,Illinois Tool Works Inc.,,Materials,"Pharmaceuticals, Biotechnology and Life Sciences",Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.93
5/3/2024,AbbVie Inc.,,Consumer Discretionary,Retailing,Social Policy,Reputational Risk,Report on Patent Process,Social,Socially Responsible Investing Funds,Friends Fiduciary Corp.,0.25
5/3/2024,AbbVie Inc.,,Materials,Media and Entertainment,Social Policy,Lobbying,Report on Lobbying,Social,Socially Responsible Investing Funds,Zevin Asset Mgmt.,0.27
5/3/2024,AbbVie Inc.,,Telecommunication Services,Media and Entertainment,Voting Rules,Simple Majority Voting,Simple Majority Vote,Individual,Individual,Kenneth Steiner,0.49
5/3/2024,AbbVie Inc.,,Financials,Capital Goods,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.92
5/3/2024,Entergy Corp,,Energy,Food Beverage and Tobacco,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.95
5/3/2024,ManpowerGrp Inc.,,Information Technology,Software and Services,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.94
5/2/2024,Kimberly-Clark Corp,,Consumer Discretionary,"Pharmaceuticals, Biotechnology and Life Sciences",Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.90
5/2/2024,Lockheed Martin Corp,,Consumer Staples,Retailing,Corporate Governance,Director Resignation Bylaw Processes,Requesting Director Election Resignation Bylaw,Labor,State/City Specific Public Employee Pension Funds,North Atlantic States Carpenters Pension Fund,0.00
5/2/2024,Lockheed Martin Corp,,Telecommunication Services,Media and Entertainment,Corporate Governance,Special Meetings,Special Shareholder Meeting Improvement,Individual,Individual,John Chevedden,0.38
5/2/2024,Lockheed Martin Corp,,Utilities,Food Beverage and Tobacco,Social Policy,Climate Risk,Report on Reducing Full Value Chain GHG Emissions,Social,Socially Responsible Investing Funds,As You Sow,0.32
5/2/2024,Lockheed Martin Corp,,Industrials,Software and Services,Social Policy,Human Rights,Report on Alignment of Political Activities with Human Rights Policy,Social,Religious Institutions,Sisters of St. Francis,0.12
5/2/2024,Lockheed Martin Corp,,Industrials,Media and Entertainment,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.93
5/2/2024,RTX Corp,,Energy,Media and Entertainment,Social Policy,Human Rights,Human Rights Impact Assessment,Social,Religious Institutions,"Sisters of Notre Dame Invest. Fund, Mankato MN",0.05
5/2/2024,RTX Corp,,Industrials,Electric Utilities,Social Policy,Climate Risk,Report on Full Value Chain Emissions Reduction Plan,Other,Management,Warren Wilson College,0.26
5/2/2024,RTX Corp,,Health Care,Electric Utilities,Social Policy,Lobbying,Transparency in Lobbying,Individual,Individual,John Chevedden,0.30
5/2/2024,RTX Corp,,Financials,"Pharmaceuticals, Biotechnology and Life Sciences",Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.86
5/2/2024,Capital One Financial Corp,,Information Technology,Capital Goods,Corporate Governance,Director Resignation Bylaw Processes,Director Election Resignation Bylaw,Labor,State/City Specific Public Employee Pension Funds,North Atlantic States Carpenters Pension Fund,0.10
5/2/2024,Capital One Financial Corp,,Financials,Integrated Oil and Gas,Social Policy,Civil Rights Audit,Report on Respecting Workforce Civil Liberties,Social,Public Policy Interest Groups,National Center for Public Policy Research,0.01
5/2/2024,Capital One Financial Corp,,Financials,Real Estate Investment Trusts,Social Policy,Climate Risk,Setting Greenhouse Gas Emission Reduction Targets,Labor,State/City Specific Public Employee Pension Funds,New York State Common Retirement Fund,0.10
5/2/2024,Capital One Financial Corp,,Utilities,Real Estate Investment Trusts,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.95
5/2/2024,Occidental Petroleum Corp,,Telecommunication Services,Banks,Social Policy,Lobbying,Transparency in Lobbying,Individual,Individual,John Chevedden,0.14
5/2/2024,Occidental Petroleum Corp,,Real Estate,Retailing,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.97
5/2/2024,Huntsman Corp,,Materials,Real Estate Investment Trusts,Social Policy,Political Spending,Transparency in Political Spending,Individual,Individual,John Chevedden,0.37
5/2/2024,Huntsman Corp,,Telecommunication Services,Media and Entertainment,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.85
5/2/2024,The Kraft Heinz Co,,Consumer Staples,Electric Utilities,Social Policy,Climate Risk,Report on Greenhouse Gas Goals,Social,Public Policy Interest Groups,National Center for Public Policy Research,0.01
5/2/2024,The Kraft Heinz Co,,Health Care,Software and Services,Social Policy,Animal Rights,Report on Group-Housed Pork,Social,Socially Responsible Investing Funds,The Accountability Board,0.21
5/2/2024,The Kraft Heinz Co,,Materials,"Pharmaceuticals, Biotechnology and Life Sciences",Social Policy,Environmental,Report on Recyclability Claims,Social,Socially Responsible Investing Funds,The Last Beach Cleanup,0.21
5/2/2024,The Kraft Heinz Co,,Real Estate,Retailing,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.96
5/2/2024,"United Parcel Service, Inc.",,Consumer Discretionary,Specialty Chemicals,Social Policy,Human Rights,"Annual Report on Diversity, Equity and Inclusion",Social,Socially Responsible Investing Funds,As You Sow,0.22
5/2/2024,"United Parcel Service, Inc.",,Materials,Software and Services,Social Policy,Environmental,Report on the Risks Arising From Voluntary Carbon-Reduction Commitments,Social,Public Policy Interest Groups,National Center for Public Policy Research,0.08
5/2/2024,"United Parcel Service, Inc.",,Utilities,Media and Entertainment,Voting Rules,Recapitalization (Stock Classes/Voting Rights),Give Each Share an Equal Vote,Individual,Individual,John Chevedden,0.36
5/2/2024,"United Parcel Service, Inc.",,Real Estate,"Pharmaceuticals, Biotechnology and Life Sciences",Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.87
5/2/2024,Ecolab Inc,,Materials,"Pharmaceuticals, Biotechnology and Life Sciences",Corporate Governance,Chairman Independence,Independent Board Chair,Individual,Individual,John Chevedden,0.34
5/2/2024,Ecolab Inc,,Telecommunication Services,Specialty Chemicals,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.90
5/1/2024,The Coca-Cola Co,,Health Care,Electric Utilities,Social Policy,Health Care,Report on Risks Caused by the Decline in the Quality of Accessible Medical Care,Social,Socially Responsible Investing Funds,As You Sow,0.09
5/1/2024,The Coca-Cola Co,,Utilities,Integrated Oil and Gas,Social Policy,Health Care,Report on Non-Sugar Sweeteners,Social,Religious Institutions,CommonSpirit Health,0.11
5/1/2024,The Coca-Cola Co,,Information Technology,Electric Utilities,Social Policy,Diversity,"Report on Risks Created by the Company’s Diversity, Equity, & Inclusion Effort",Social,Public Policy Interest Groups,National Center for Public Policy Research,0.02
5/1/2024,The Coca-Cola Co,,Energy,Retailing,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.89
5/1/2024,General Dynamics Corp,,Materials,Real Estate Investment Trusts,Executive Compensation,Golden Parachutes,Shareholder Opportunity to Vote on Excessive Golden Parachutes,Individual,Individual,John Chevedden,0.04
5/1/2024,General Dynamics Corp,,Health Care,Retailing,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.96
5/1/2024,"Molina Healthcare, Inc.",,Telecommunication Services,Food Beverage and Tobacco,Voting Rules,Simple Majority Voting,Simple Majority Vote,Individual,Individual,John Chevedden,0.09
5/1/2024,"Molina Healthcare, Inc.",,Materials,"Pharmaceuticals, Biotechnology and Life Sciences",Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.93
5/1/2024,"PepsiCo,Inc.",,Health Care,Electric Utilities,Social Policy,Global Spending Transparency,Global Transparency Report,Individual,Individual,John Harrington,0.15
5/1/2024,"PepsiCo,Inc.",,Consumer Discretionary,Banks,Social Policy,Diversity,"Report on Risks Created by the Company’s Diversity, Equity and Inclusion Efforts",Social,Public Policy Interest Groups,National Center for Public Policy Research,0.03
5/1/2024,"PepsiCo,Inc.",,Real Estate,Integrated Oil and Gas,Social Policy,Gender/Racial Equality,Third-Party Racial Equity Audit,Social,Social - Other,The Nathan Cummings Foundation,0.20
5/1/2024,"PepsiCo,Inc.",,Financials,Real Estate Investment Trusts,Social Policy,Socio-Economic Systemic Risks,Report on Risks Related to Biodiversity and Nature Loss,Social,Socially Responsible Investing Funds,Green Century Capital Management,0.18
5/1/2024,"PepsiCo,Inc.",,Energy,Retailing,Social Policy,Public Health,Third-Party Assessment on Non-Sugar Sweetener Risks,Social,Religious Institutions,Sisters of the Sorrowful Mother ,0.11
5/1/2024,"PepsiCo,Inc.",,Real Estate,Banks,Corporate Governance,Director Resignation Bylaw Processes,Director Election Resignation Bylaw Proposal,Labor,State/City Specific Public Employee Pension Funds,Mid-America Carpenters Pension Fund,0.18
