Meeting_Date,Company,Symbol,Industry,SubIndustry,Proposal_Type_General,Proposal_Type_Specific,Title,Proponent_Type_General,Proponent Type_Specific,Proponent,Votes_For
5/14/2024,Honeywell Int'l Inc.,,Financials,Electric Utilities,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.93
5/14/2024,The Allstate Corp,,Information Technology,Retailing,Corporate Governance,Chairman Independence,Independent Board Chair,Individual,Individual,Kenneth Steiner,0.30
5/14/2024,The Allstate Corp,,Health Care,Capital Goods,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.86
5/14/2024,Cummins Inc.,,Consumer Staples,Electric Utilities,Social Policy,Climate Risk,Link Exec Comp to 1.5°C Aligned Greenhouse Gas Emissions Reductions,Social,Socially Responsible Investing Funds,As You Sow,0.16
5/14/2024,Cummins Inc.,,Industrials,Real Estate Investment Trusts,Corporate Governance,Chairman Independence,Independent Board Chair,Individual,Individual,John Chevedden,0.44
5/14/2024,Cummins Inc.,,Materials,Integrated Oil and Gas,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.94
5/14/2024,"Waste Management, Inc.",,Consumer Discretionary,Media and Entertainment,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.93
5/14/2024,Loews Corp.,,Information Technology,Software and Services,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.96
5/13/2024,Baker Hughes Co,,Materials,Capital Goods,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.95
5/13/2024,Int'l Paper Co,,Materials,Specialty Chemicals,Social Policy,Diversity,Report on the Company’s LGBTQ+ Equity and Inclusion Efforts,Labor,State/City Specific Public Employee Pension Funds,New York State Common Retirement Fund,0.19
5/13/2024,Int'l Paper Co,,Consumer Staples,Banks,Executive Compensation,Golden Parachutes,Shareowner Opportunity to Vote on Excessive Golden Parachutes,Individual,Individual,John Chevedden,0.30
5/13/2024,Int'l Paper Co,,Health Care,Software and Services,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.83
5/11/2024,Duke Energy Corp,,Real Estate,Food Beverage and Tobacco,Social Policy,Climate Risk,Financial Statement Assumptions and Climate Change,Social,Public Policy Interest Groups,National Center for Public Policy Research,0.02
5/11/2024,Duke Energy Corp,,Real Estate,Specialty Chemicals,Executive Compensation,Equity Comp Rules,Executives To Retain Significant Stock,Individual,Individual,John Chevedden,0.36
5/11/2024,Duke Energy Corp,,Financials,Specialty Chemicals,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.90
5/10/2024,Colgate-Palmolive Co,,Utilities,Electric Utilities,Corporate Governance,Chairman Independence,Independent Board Chair,Individual,Individual,Kenneth Steiner,0.34
5/10/2024,Colgate-Palmolive Co,,Telecommunication Services,Integrated Oil and Gas,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.87
5/10/2024,The Progressive Corp,,Information Technology,Software and Services,Social Policy,Diversity,"Report Risks by the Company's Diversity, Equity, and Inclusion Efforts",Social,Public Policy Interest Groups,National Center for Public Policy Research,0.01
5/10/2024,The Progressive Corp,,Materials,Banks,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.95
5/10/2024,"Marriott Int'l, Inc.",,Materials,Real Estate Investment Trusts,Social Policy,Gender/Racial Equality,Racial and Gender Pay Gap Report,Individual,Individual,Myra K. Young,0.20
5/10/2024,"Marriott Int'l, Inc.",,Utilities,"Pharmaceuticals, Biotechnology and Life Sciences",Social Policy,Civil Rights Audit,Third-Party Civil Rights Audit,Social,Socially Responsible Investing Funds,Trillium Global Equity Fund,0.11
5/10/2024,"Marriott Int'l, Inc.",,Consumer Discretionary,Specialty Chemicals,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.89
5/10/2024,Alcoa Corp,,Industrials,Food Beverage and Tobacco,Social Policy,Lobbying,Transparency in Lobbying,Individual,Individual,Kenneth Steiner,0.36
5/10/2024,Alcoa Corp,,Materials,"Pharmaceuticals, Biotechnology and Life Sciences",Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.97
5/9/2024,Nucor Corp,,Telecommunication Services,Integrated Oil and Gas,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.92
5/9/2024,"Penske Automotive Grp, Inc.",,Real Estate,Real Estate Investment Trusts,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.98
5/9/2024,Norfolk Southern Corp,,Health Care,Integrated Oil and Gas,Corporate Governance,Require Shareholder Vote on Bylaws,Repeal Board Bylaws Adopted without Shareholder Approval,Other,Investment Adviser,Ancora Holdings Group LLC,0.61
5/9/2024,Norfolk Southern Corp,,Energy,Specialty Chemicals,Social Policy,Lobbying,Transparency in Lobbying,Individual,Individual,John Chevedden,0.39
5/9/2024,Norfolk Southern Corp,,Industrials,Software and Services,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.28
5/9/2024,Ford Motor Co,,Industrials,Real Estate Investment Trusts,Social Policy,Supply Chain Risks,Supply Chain Transparency and Traceability Report,Social,Socially Responsible Investing Funds,Green Century Capital Management,0.07
5/9/2024,Ford Motor Co,,Information Technology,Integrated Oil and Gas,Social Policy,Human Rights,Child Labor Audit,Social,Public Policy Interest Groups,National Center for Public Policy Research,0.06
5/9/2024,Ford Motor Co,,Industrials,Retailing,Voting Rules,Recapitalization (Stock Classes/Voting Rights),Give Each Share an Equal Vote,Individual,Individual,John Chevedden,0.38
5/9/2024,Ford Motor Co,,Industrials,Real Estate Investment Trusts,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.93
5/9/2024,Las Vegas S&s Corp.,,Consumer Staples,Banks,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.65
5/9/2024,Union Pacific Corp,,Energy,Specialty Chemicals,Corporate Governance,Amend Board Committee Charter,Amend Charter of the Board’s Railroad Safety Committee,Labor,General Private Labor Union Pension Funds,AFL-CIO,0.07
5/9/2024,Union Pacific Corp,,Consumer Discretionary,Electric Utilities,Executive Compensation,Golden Parachutes,Shareholder Opportunity to Vote on Excessive Golden Parachutes,Individual,Individual,John Chevedden,0.06
5/9/2024,Union Pacific Corp,,Energy,Software and Services,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.96
5/9/2024,"C.H. Robinson Worldwide, Inc.",,Telecommunication Services,Retailing,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.86
5/9/2024,Verizon Communications Inc.,,Health Care,Electric Utilities,Social Policy,Political Spending,Political Expenditures Misalignment,Social,Socially Responsible Investing Funds,The Woodcock Foundation,0.17
5/9/2024,Verizon Communications Inc.,,Information Technology,Software and Services,Social Policy,Public Health,Lead-sheathed Cable Report,Labor,Company-Specific Labor Union Pension Funds,Assoc. of BellTel Retirees,0.15
5/9/2024,Verizon Communications Inc.,,Utilities,Specialty Chemicals,Social Policy,Civil Rights Audit,Respect Civil Liberties in Digital Services,Social,Public Policy Interest Groups,American Family Association,0.05
5/9/2024,Verizon Communications Inc.,,Utilities,Specialty Chemicals,Corporate Governance,Chairman Independence,Independent Board Chair,Individual,Individual,Kenneth Steiner,0.43
5/9/2024,Verizon Communications Inc.,,Consumer Staples,Retailing,Executive Compensation,Clawback,Amend Exec Compensation Clawback Policy,Individual,Individual,Thomas Steed,0.33
5/9/2024,Verizon Communications Inc.,,Energy,Food Beverage and Tobacco,Social Policy,Lobbying,Lobbying Activities Report,Individual,Individual,Alyson Pytte,0.35
5/9/2024,Verizon Communications Inc.,,Health Care,Food Beverage and Tobacco,Social Policy,Political Spending,Cease Political Contributions Study,Social,Socially Responsible Investing Funds,Trillium Global Equity Fund,0.06
5/9/2024,Verizon Communications Inc.,,Industrials,Media and Entertainment,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.91
5/9/2024,Sempra Energy,,Energy,Capital Goods,Social Policy,Environmental,Report on Efforts to Reduce Risks of Significant Environmental Hazards,Labor,General Private Labor Union Pension Funds,Utility Workers Union of America,0.25
5/9/2024,Sempra Energy,,Real Estate,Specialty Chemicals,Executive Compensation,Golden Parachutes,Shareholder Opportunity to Vote on Excessive Golden Parachutes,Individual,Individual,John Chevedden,0.05
5/9/2024,Sempra Energy,,Information Technology,Food Beverage and Tobacco,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.93
5/8/2024,CSX Corp,,Consumer Discretionary,Food Beverage and Tobacco,Corporate Governance,Establish New Board Committee & or Council,Form a Railroad Safety Committee,Labor,General Private Labor Union Pension Funds,AFL-CIO,0.08
5/8/2024,CSX Corp,,Industrials,Electric Utilities,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.83
5/8/2024,Philip Morris Int'l Inc.,,Health Care,Software and Services,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.93
5/8/2024,"Gilead Sciences, Inc.",,Consumer Discretionary,Food Beverage and Tobacco,Executive Compensation,Equity Comp Rules,Executives To Retain Significant Stock,Individual,Individual,John Chevedden,0.36
5/8/2024,"Gilead Sciences, Inc.",,Materials,Retailing,Social Policy,Health Care,Report on Risks of Supporting Abortion,Other,Investment Adviser,Bowyer Research,0.02
5/8/2024,"Gilead Sciences, Inc.",,Health Care,Media and Entertainment,Corporate Governance,Employee Representative Director,Incl Non-Management Employee as Director,Individual,Individual,Jing Zhao,0.06
5/8/2024,"Gilead Sciences, Inc.",,Telecommunication Services,Real Estate Investment Trusts,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.92
5/8/2024,"Kinder Morgan, Inc.",,Consumer Discretionary,Capital Goods,Social Policy,Climate Risk,Establish a Greenhouse Gas Emission Reduction Target,Other,Foreign Government Pension Fund,Norges Bank Investment Mgmt.,0.31
5/8/2024,"Kinder Morgan, Inc.",,Financials,Food Beverage and Tobacco,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.96
5/8/2024,Murphy Oil Corp,,Consumer Discretionary,Electric Utilities,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.99
5/7/2024,General Electric Co,,Materials,Media and Entertainment,Social Policy,Environmental,Report Analyzing Risks Arising from Voluntary Carbon-Reduction Commitments,Social,Public Policy Interest Groups,National Center for Public Policy Research,0.01
5/7/2024,General Electric Co,,Health Care,Electric Utilities,Corporate Governance,Chairman Independence,Independent Board Chair,Individual,Individual,Kenneth Steiner,0.16
5/7/2024,General Electric Co,,Information Technology,Retailing,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.94
5/7/2024,"Dominion Energy, Inc.",,Telecommunication Services,Food Beverage and Tobacco,Social Policy,Climate Risk,Amend Articles of Incorporation to Become a Benefit Corporation,Individual,Individual,Ruth McElroy Amundsen,0.02
5/7/2024,"Dominion Energy, Inc.",,Industrials,Real Estate Investment Trusts,Corporate Governance,Chairman Independence,Independent Board Chair,Individual,Individual,John Chevedden,0.40
5/7/2024,"Dominion Energy, Inc.",,Energy,Banks,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.95
5/7/2024,Bristol-Myers Squibb Co,,Real Estate,Retailing,Executive Compensation,Equity Comp Rules,Executives to Retain Significant Stock,Individual,Individual,John Chevedden,0.39
5/7/2024,Bristol-Myers Squibb Co,,Financials,Software and Services,Corporate Governance,Chairman Independence,Independent Board Chair,Individual,Individual,Kenneth Steiner,0.32
5/7/2024,Bristol-Myers Squibb Co,,Financials,Integrated Oil and Gas,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.94
5/7/2024,The Gap Inc.,,Consumer Discretionary,Capital Goods,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.97
5/7/2024,Omnicom Grp Inc.,,Energy,Integrated Oil and Gas,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.91
5/7/2024,"Community Health Systems, Inc.",,Energy,Food Beverage and Tobacco,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.97
5/7/2024,Danaher Corp,,Information Technology,Software and Services,Social Policy,Diversity,"Report on Effectiveness of the Company’s Diversity, Equity & Inclusion Efforts",Social,Socially Responsible Investing Funds,As You Sow,0.14
5/7/2024,Danaher Corp,,Materials,Specialty Chemicals,Corporate Governance,Special Meetings,Special Shareholder Meeting Improvement,Individual,Individual,John Chevedden,0.43
5/7/2024,Danaher Corp,,Materials,Electric Utilities,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.93
5/7/2024,Oshkosh Corp,,Consumer Discretionary,Electric Utilities,Voting Rules,Majority Voting for Directors,Majority Vote for Director Election,Labor,State/City Specific Public Employee Pension Funds,Mid-America Carpenters Pension Fund,0.00
5/7/2024,Oshkosh Corp,,Consumer Discretionary,Media and Entertainment,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.96
5/7/2024,Intel Corp,INTC,Consumer Staples,Real Estate Investment Trusts,Executive Compensation,Golden Parachutes,Shareholder Opportunity to Vote on Excessive Golden Parachutes,Individual,Individual,John Chevedden,0.07
5/7/2024,Intel Corp,INTC,Utilities,Software and Services,Social Policy,Health Care,Risk Report of Opposing State Abortion Regulation,Social,Public Policy Interest Groups,American Family Association,0.01
5/7/2024,Intel Corp,INTC,Telecommunication Services,Capital Goods,Corporate Governance,Establish New Board Committee & or Council,Request a Corporate Financial Sustainability Board Committee,Social,Public Policy Interest Groups,National Center for Public Policy Research,0.01
5/7/2024,Intel Corp,INTC,Consumer Staples,Food Beverage and Tobacco,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.89
5/7/2024,Baxter Int'l Inc.,,Industrials,Retailing,Executive Compensation,Equity Comp Rules,Executives to Retain Significant Stock,Individual,Individual,John Chevedden,0.29
5/7/2024,Baxter Int'l Inc.,,Industrials,Software and Services,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.87
5/7/2024,"Arrow Electronics, Inc.",ARW,Consumer Discretionary,Food Beverage and Tobacco,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.97
5/6/2024,Aflac Inc,,Industrials,Capital Goods,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.96
5/6/2024,Eli Lilly & Co,,Financials,Real Estate Investment Trusts,Social Policy,Human Rights,Adopt a Comprehensive Human Rights Policy,Social,Religious Institutions,CommonSpirit Health,0.10
5/6/2024,Eli Lilly & Co,,Real Estate,Integrated Oil and Gas,Social Policy,Reputational Risk,Impact of Extended Patent Exclusivities on Product Access Report,Social,Religious Institutions,Trinity Health,0.09
5/6/2024,Eli Lilly & Co,,Real Estate,Food Beverage and Tobacco,Social Policy,Diversity,"Report on Effectiveness of the Company’s Diversity, Equity, and Inclusion Efforts",Social,Socially Responsible Investing Funds,As You Sow,0.24
5/6/2024,Eli Lilly & Co,,Industrials,Electric Utilities,Social Policy,Lobbying,Report on Lobbying,Labor,Public Services Employee Union Pension Funds,SEIU Master Trust,0.26
5/6/2024,Eli Lilly & Co,,Materials,Retailing,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.95
5/6/2024,American Express Co,,Telecommunication Services,Media and Entertainment,Corporate Governance,Merchant Category Codes ,Policy on Merchant Category Codes,Social,Public Policy Interest Groups,National Center for Public Policy Research,0.01
5/6/2024,American Express Co,,Materials,Media and Entertainment,Social Policy,Climate Risk,Report Climate Lobbying Alignment,Individual,Individual,Myra K. Young,0.24
5/6/2024,American Express Co,,Telecommunication Services,Electric Utilities,Executive Compensation,Golden Parachutes,Shareholder Opportunity to Vote on Excessive Golden Parachutes,Individual,Individual,Kenneth Steiner,0.31
5/6/2024,American Express Co,,Utilities,Food Beverage and Tobacco,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.95
5/4/2024,Berkshire Hathaway Inc.,,Health Care,Electric Utilities,Social Policy,Human Rights,Impact of Communist China on Company Doing Business in China,Social,Public Policy Interest Groups,National Legal and Policy Center,0.01
5/4/2024,Berkshire Hathaway Inc.,,Real Estate,Banks,Social Policy,Climate Risk,Issue Audited Report on Net-zero GHG Emissions & Associated Energy Status,Social,Public Policy Interest Groups,National Center for Public Policy Research,0.01
5/4/2024,Berkshire Hathaway Inc.,,Information Technology,Retailing,Corporate Governance,Establish New Board Committee & or Council,Form a Railroad Safety Committee,Labor,General Private Labor Union Pension Funds,AFL-CIO,0.04
5/4/2024,Berkshire Hathaway Inc.,,Consumer Staples,Electric Utilities,Social Policy,Employment Rights,"Report on the Company’s Diversity, Equity, and Inclusion Efforts on Employees",Social,Socially Responsible Investing Funds,Whistle Stop Capital,0.20
5/4/2024,Berkshire Hathaway Inc.,,Consumer Discretionary,Real Estate Investment Trusts,Social Policy,Climate Risk,Disclose GhG Emissions Data & Progress to its Net-zero Decarbonization Goal,Labor,State/City Specific Public Employee Pension Funds,Illinois State Treasurer,0.18
5/4/2024,Berkshire Hathaway Inc.,,Information Technology,Integrated Oil and Gas,Social Policy,Climate Risk,"Report on How BRK will Measure, Disclose & Reduce GHG Emissions on its Activities",Social,Socially Responsible Investing Funds,As You Sow,0.21
5/3/2024,Illinois Tool Works Inc.,,Financials,Retailing,Executive Compensation,Golden Parachutes,Shareholder Opportunity to Vote on Excessive Golden Parachutes,Individual,Individual,John Chevedden,0.34
5/3/2024,Illinois Tool Works Inc.,,Health Care,"Pharmaceuticals, Biotechnology and Life Sciences",Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.93
5/3/2024,AbbVie Inc.,,Industrials,Specialty Chemicals,Social Policy,Reputational Risk,Report on Patent Process,Social,Socially Responsible Investing Funds,Friends Fiduciary Corp.,0.25
5/3/2024,AbbVie Inc.,,Materials,Retailing,Social Policy,Lobbying,Report on Lobbying,Social,Socially Responsible Investing Funds,Zevin Asset Mgmt.,0.27
5/3/2024,AbbVie Inc.,,Financials,Electric Utilities,Voting Rules,Simple Majority Voting,Simple Majority Vote,Individual,Individual,Kenneth Steiner,0.49
5/3/2024,AbbVie Inc.,,Consumer Staples,Integrated Oil and Gas,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.92
5/3/2024,Entergy Corp,,Industrials,Real Estate Investment Trusts,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.95
5/3/2024,ManpowerGrp Inc.,,Health Care,Electric Utilities,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.94
5/2/2024,Kimberly-Clark Corp,,Utilities,Retailing,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.90
5/2/2024,Lockheed Martin Corp,,Real Estate,Retailing,Corporate Governance,Director Resignation Bylaw Processes,Requesting Director Election Resignation Bylaw,Labor,State/City Specific Public Employee Pension Funds,North Atlantic States Carpenters Pension Fund,0.00
5/2/2024,Lockheed Martin Corp,,Consumer Discretionary,Food Beverage and Tobacco,Corporate Governance,Special Meetings,Special Shareholder Meeting Improvement,Individual,Individual,John Chevedden,0.38
5/2/2024,Lockheed Martin Corp,,Information Technology,Banks,Social Policy,Climate Risk,Report on Reducing Full Value Chain GHG Emissions,Social,Socially Responsible Investing Funds,As You Sow,0.32
5/2/2024,Lockheed Martin Corp,,Energy,Capital Goods,Social Policy,Human Rights,Report on Alignment of Political Activities with Human Rights Policy,Social,Religious Institutions,Sisters of St. Francis,0.12
5/2/2024,Lockheed Martin Corp,,Health Care,Electric Utilities,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.93
5/2/2024,RTX Corp,,Materials,Electric Utilities,Social Policy,Human Rights,Human Rights Impact Assessment,Social,Religious Institutions,"Sisters of Notre Dame Invest. Fund, Mankato MN",0.05
5/2/2024,RTX Corp,,Health Care,Software and Services,Social Policy,Climate Risk,Report on Full Value Chain Emissions Reduction Plan,Other,Management,Warren Wilson College,0.26
5/2/2024,RTX Corp,,Consumer Discretionary,Retailing,Social Policy,Lobbying,Transparency in Lobbying,Individual,Individual,John Chevedden,0.30
5/2/2024,RTX Corp,,Real Estate,Integrated Oil and Gas,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.86
5/2/2024,Capital One Financial Corp,,Information Technology,Electric Utilities,Corporate Governance,Director Resignation Bylaw Processes,Director Election Resignation Bylaw,Labor,State/City Specific Public Employee Pension Funds,North Atlantic States Carpenters Pension Fund,0.10
5/2/2024,Capital One Financial Corp,,Utilities,Media and Entertainment,Social Policy,Civil Rights Audit,Report on Respecting Workforce Civil Liberties,Social,Public Policy Interest Groups,National Center for Public Policy Research,0.01
5/2/2024,Capital One Financial Corp,,Consumer Staples,Food Beverage and Tobacco,Social Policy,Climate Risk,Setting Greenhouse Gas Emission Reduction Targets,Labor,State/City Specific Public Employee Pension Funds,New York State Common Retirement Fund,0.10
5/2/2024,Capital One Financial Corp,,Telecommunication Services,Banks,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.95
5/2/2024,Occidental Petroleum Corp,,Consumer Staples,Capital Goods,Social Policy,Lobbying,Transparency in Lobbying,Individual,Individual,John Chevedden,0.14
5/2/2024,Occidental Petroleum Corp,,Telecommunication Services,Capital Goods,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.97
5/2/2024,Huntsman Corp,,Consumer Staples,"Pharmaceuticals, Biotechnology and Life Sciences",Social Policy,Political Spending,Transparency in Political Spending,Individual,Individual,John Chevedden,0.37
5/2/2024,Huntsman Corp,,Real Estate,Electric Utilities,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.85
5/2/2024,The Kraft Heinz Co,,Industrials,"Pharmaceuticals, Biotechnology and Life Sciences",Social Policy,Climate Risk,Report on Greenhouse Gas Goals,Social,Public Policy Interest Groups,National Center for Public Policy Research,0.01
5/2/2024,The Kraft Heinz Co,,Materials,Specialty Chemicals,Social Policy,Animal Rights,Report on Group-Housed Pork,Social,Socially Responsible Investing Funds,The Accountability Board,0.21
5/2/2024,The Kraft Heinz Co,,Materials,Software and Services,Social Policy,Environmental,Report on Recyclability Claims,Social,Socially Responsible Investing Funds,The Last Beach Cleanup,0.21
5/2/2024,The Kraft Heinz Co,,Health Care,Media and Entertainment,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.96
5/2/2024,"United Parcel Service, Inc.",,Consumer Discretionary,Banks,Social Policy,Human Rights,"Annual Report on Diversity, Equity and Inclusion",Social,Socially Responsible Investing Funds,As You Sow,0.22
5/2/2024,"United Parcel Service, Inc.",,Energy,Banks,Social Policy,Environmental,Report on the Risks Arising From Voluntary Carbon-Reduction Commitments,Social,Public Policy Interest Groups,National Center for Public Policy Research,0.08
5/2/2024,"United Parcel Service, Inc.",,Information Technology,Electric Utilities,Voting Rules,Recapitalization (Stock Classes/Voting Rights),Give Each Share an Equal Vote,Individual,Individual,John Chevedden,0.36
5/2/2024,"United Parcel Service, Inc.",,Materials,Retailing,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.87
5/2/2024,Ecolab Inc,,Information Technology,Capital Goods,Corporate Governance,Chairman Independence,Independent Board Chair,Individual,Individual,John Chevedden,0.34
5/2/2024,Ecolab Inc,,Consumer Discretionary,Food Beverage and Tobacco,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.90
5/1/2024,The Coca-Cola Co,,Materials,Software and Services,Social Policy,Health Care,Report on Risks Caused by the Decline in the Quality of Accessible Medical Care,Social,Socially Responsible Investing Funds,As You Sow,0.09
5/1/2024,The Coca-Cola Co,,Industrials,Food Beverage and Tobacco,Social Policy,Health Care,Report on Non-Sugar Sweeteners,Social,Religious Institutions,CommonSpirit Health,0.11
5/1/2024,The Coca-Cola Co,,Information Technology,Integrated Oil and Gas,Social Policy,Diversity,"Report on Risks Created by the Company’s Diversity, Equity, & Inclusion Effort",Social,Public Policy Interest Groups,National Center for Public Policy Research,0.02
5/1/2024,The Coca-Cola Co,,Consumer Discretionary,Capital Goods,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.89
5/1/2024,General Dynamics Corp,,Real Estate,Media and Entertainment,Executive Compensation,Golden Parachutes,Shareholder Opportunity to Vote on Excessive Golden Parachutes,Individual,Individual,John Chevedden,0.04
5/1/2024,General Dynamics Corp,,Utilities,Real Estate Investment Trusts,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.96
5/1/2024,"Molina Healthcare, Inc.",,Industrials,Software and Services,Voting Rules,Simple Majority Voting,Simple Majority Vote,Individual,Individual,John Chevedden,0.09
5/1/2024,"Molina Healthcare, Inc.",,Materials,Banks,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.93
5/1/2024,"PepsiCo,Inc.",,Utilities,Integrated Oil and Gas,Social Policy,Global Spending Transparency,Global Transparency Report,Individual,Individual,John Harrington,0.15
5/1/2024,"PepsiCo,Inc.",,Consumer Staples,Banks,Social Policy,Diversity,"Report on Risks Created by the Company’s Diversity, Equity and Inclusion Efforts",Social,Public Policy Interest Groups,National Center for Public Policy Research,0.03
5/1/2024,"PepsiCo,Inc.",,Materials,Real Estate Investment Trusts,Social Policy,Gender/Racial Equality,Third-Party Racial Equity Audit,Social,Social - Other,The Nathan Cummings Foundation,0.20
5/1/2024,"PepsiCo,Inc.",,Consumer Discretionary,Capital Goods,Social Policy,Socio-Economic Systemic Risks,Report on Risks Related to Biodiversity and Nature Loss,Social,Socially Responsible Investing Funds,Green Century Capital Management,0.18
5/1/2024,"PepsiCo,Inc.",,Information Technology,Specialty Chemicals,Social Policy,Public Health,Third-Party Assessment on Non-Sugar Sweetener Risks,Social,Religious Institutions,Sisters of the Sorrowful Mother ,0.11
5/1/2024,"PepsiCo,Inc.",,Utilities,Media and Entertainment,Corporate Governance,Director Resignation Bylaw Processes,Director Election Resignation Bylaw Proposal,Labor,State/City Specific Public Employee Pension Funds,Mid-America Carpenters Pension Fund,0.18
5/1/2024,"PepsiCo,Inc.",,Consumer Discretionary,Retailing,Social Policy,Employment Rights,Report on Gender-Based Compensation Gaps and Associated Risks,Social,Public Policy Interest Groups,National Legal and Policy Center,0.02
5/1/2024,"PepsiCo,Inc.",,Health Care,Integrated Oil and Gas,Executive Compensation,Golden Parachutes,Shareholder Ratification of Excessive Golden Parachutes,Individual,Individual,John Chevedden,0.07
5/1/2024,"PepsiCo,Inc.",,Energy,Banks,Executive Compensation,Say on Pay,Advisory Vote Exec. Comp.,Other,Management,MANAGEMENT,0.90
